Name
Greyhound
Grimaldi
Grizz Killer
Guesswork Cocktail
Gulyuz
Gumby Dammit
Gumbys' Ruby Red
Hairy Sunrise
Haitian Gold
Half-Man Half-Wit
Harlem Cocktail
Havana Cocktail
Havana Special
Hawaii Five-O
Hawaiian Cocktail
Hawaiian Screw
Hawaiian Screw #2
Hawaiian Sunset
Hawaiian Volcano #2
Hell Frozen Over
Hemingway Special
Hen Night Zipper-Ripper
High Voltage
Homewrecker
Honolulu Cocktail
Honolulu Shooter
Hoo Doo
Hop Skip and Go Naked
Hot Pants
Hot Springs Cocktail
Hudson
Hudson Bay
Hurlyburly
Hurricane Flint
Hustler
Hybris
Ideal Cocktail
Indycar
Inverted Traffic Light
Isle of Pines
Italian Sunset
Izayoi
Jacana
Jamaica Glow
Jamaica Sunday
Jamaican Dust
Jamaican Green Sunrise
Jamaican Juice
Jamaican Sunrise
Jamaican Zombie
Jedamski's Tropical Orgasm
Johnny on the Beach
Jolly Green Giant
JT Delight
Juicy Fruit
July Passion
Jungle Frost
Jungle Spice
K.G.B.
Kama Sutra
Katinka
Kavorkien
Kentucky Kernel
Kermit The Frog Piss
Key Largo OJ
Key Punch
Key West Lemonade
Killer Kool-Aid (Rhode Island)
Killer Koolaid
Kismet Hardy
Kiss and Tell
Kristi GreenEye
La Bomba
La Jolla
La Tigre
Ladder
Lady Killer
Lady's Mango
Lanette
Lani
Lazy Lover
Lennart
Liberator
Lifesaver
Lime Passion
Limelight
Limelon
Limon Delight
Lina
Linstead Cocktail
Liquid Cocaine #5
Liquid Desert
Little Red Riding Hood
Little White Lie
Livingston
Loch Ness Mystery
Long Beach Cocktail
Long Island Cocktail
Long Island Sunset
Lorraine's Delight
Los Cabos Clout
Lost Bikini
Love For Toby
Love Game
Love Me Tender
Love Potion
Low Lattitude Lust
Lucky Double
Lucky Driver
Luxury
Madeleine
Magic Dew
Magnum
Maiden's Blush
Malayan Gold
Man o' War
Mandarine Passion
Marimba
Mary Pickford Cocktail
Matt's Tropical Punch
Melon Tree
Melonade
Merete
Merete
Merlin's Love Potion
Mexican Madras
Mexican Surfer
Mexicana
Miami Beach Cocktail
Miami Vice
Michael Moros Detroit Boy
Micheal's Downfall
Midori Hack
Mirage
Missile Stopper
Missle Pop
Mister Christian
Mogadon
Monet Carribean Frost
Mongolian Motherfucker
Monkey Tree
Monkey Wrench
Monsoon
Moonlight Drive
Morro
Mule's Hind Leg
Mullens Mai Tai
Murder in the Forest
Naked Twister
Nappy Dugout
Navel Caribbean Love
Navy Grog
Neon Nightmare
Neopolitan
Net Surfer
Nevada Cocktail
Nevins
Niagara Falls
Nightboat to Brazil
Nightboat to Recife
Nina's Special
No Problem
Noche de Phoof
Nolan
O & Tonic
O Madras
Oaxaca Jim
Ocean Drive
Old Moorhen's Shredded Sporran
Olympia
Olympic
Operation Recoverer
Orange Climax
Ordinary Seaman
Orlando Amethyst
Out of Africa
Outrigger
Oyster Bay
Pain Killer
Palm Beach Cocktail
Pamplemousse
Panther Sweat
Papa Doble
Papaya Driver
Paradise
Park Avenue
Park Lane
Party Girl
Partymeister
Passion Beach
Passion Chi-Chi
Passion Punch
Passionate Kiss
Patel's Special
Peach Blaster
Peach Bowl
Peach Bullfrog
Peach Harpoon
Peach May Cocktail
Peach Me Tender
Peach Melissa
Peach Tequila
Peachbreeze
Pearl Harbour
Peregrine's Peril
Perfect Kiss
Petite Fleur
Pimp Punch
Pineappleless Pineapple Juice
Pinerito
Pink Cello
Pink Clyt
Pink Coral
Pink Passion
Pink Pussycat
Pinko
Pipeline
Planter's Punch (Americanised)
PMS Special
Polish Professor
Polo Cocktail
Prince of Norway
Prince's Smile
Prohibition Cocktail
Psycho
Puerto Rican Punch
Puffer
Pulp Vega
Punch a la Washington Hotel
Pure Pleasure
Purple Cactus
Purple Cow
Purple Crayon
Purple Gecko
Purple Heart
Purple People Eater
Purple Yummy
Quaker's Cocktail
Quilt Lifter
Raggae Sunsplash
Randy Andy
Razberi Sunsplash
Red Dwarf
Red Eisentrout
Red Hope
Red Hot Lover
Red Hurricane
Red Lion
Red Melon
Red Ox
Red Panties
Red Rattlesnake
Red Rooster
Red Velvet
Resaca Water
Richie 50
Riedinger
Rising Skirt
Roadrunner Punch
Robson Cocktail
