Name
One Exciting Night
Opal Cocktail
Opera Cocktail
Operator
Orange Bloom
Orange Blossom
Orange Buck
Orange Fizz
Orange Oasis
Orchard Downs
Orchid Cocktail
Original Singapore Sling
Orlando Amethyst
P.S.U. Victory Dance
Painter's Delight
Pall Mall Cocktail
Pall Mall Martini
Palm Beach Cocktail
Pammy Kay
Panty Dropper
Panty Remover #2
Papaya Sling
Paris Cocktail
Parisian Cocktail
Parisienne
Park Avenue
Peach Blow Fizz
Peach Up
Peggy Cocktail
Peggy Martini
Pegu
Peppermint Park
Perfect Cocktail
Perfect Lady
Perfect Martini
Peter Pan Cocktail
Petticoat Lane
Piccadilly Cocktail
Piggelin #2
Pimm's Cup
Pimm's No. 1
Pimm's Rangoon
Pimm's Turbo
Pineapple Hornblower
Pineau Martini
Ping-Pong Cocktail
Pink Cream Fizz
Pink Elephant
Pink Fingers
Pink Fix
Pink Forest
Pink Gin
Pink Gin Tonic
Pink Lady
Pixie Stick
Plaza Cocktail
Polo Cocktail
Poppy Cocktail
Prairie Chicken
Princeton Cocktail
Prohibition Cocktail
Purple Rain
Queen Elizabeth
Queerwig
RAC Cocktail
Radio City
Raggae Sunsplash
Ramos Fizz
Raspberry Release
Red Bruiser Cocktail
Red Gin
Red Hope
Red Ruby
Red Velvet
Remmsen Cooler
Remsen Cooler
Reynolds Special
Rheingold
Rolls-Royce
Root Beer Fizz
Roselyn Cocktail
Rouge Martini
Royal Clover Club Cocktail
Royal Cocktail
Royal Fizz
Royal Gin Fizz
Royal Hawaiian
Royal Romance
Royalty Fizz
Ruby Fizz
Ruby in the Rough
Ruby Tuesday
Saketini
Salt-and-Pepper Highball
Salty Dog
Same Old Song
San Francisco Cocktail
Sand-Martin Cocktail
Satan's Whiskers
Savannah
Schumann's Gimlet
Sensation Cocktail
Seventh Heaven Cocktail
Sexy Bitch
Sid's Special
Side Kick
Silver Bronx
Silver Cocktail
Silver Jubilee
Silver King Cocktail
Silver Stallion Fizz
Singapore Sling
Singapore Sling #2
Sloe Comfortable Screw #2
Sloe Comfortable Screw #4
Sloe Gin Cocktail
Sloe Gin Collins
Sloe Gin Fizz
Sloe Gin Flip
Sloe Gin Rickey
Sloe Vermouth
Sloeberry Cocktail
Slow Comfortable Screw
Slow Fuck
Slow Gin and Tonic
Slow Painful Movement
Slow Screw
Small Sand
Smart Christine
Smeraldo
Smile Cocktail
Smiler Cocktail
Smurf-o-Tonic
Snake In The Grass
Snyder
Somebird
Sore Throat
Southern Bride
Southern Gin Cocktail
Southside
Space
Sphinx Cocktail
Spicy Martini
Split Beaver
Spring
Spring Feeling Cocktail
Status Quo
Stone Rickey
Stork Club Cocktail
Straight Law Cocktail
Strawberry Cream
Strawberry Dawn
Strawberry Martini
Strike's On
Supreme
Tailor Made
Tailspin Cocktail
Tango Cocktail
Tannersworth
Tanqueray and Tonic
Ten Pin Gin
Ten Quidder
Thal On The Rocks
Thanksgiving Cocktail #2
The Bronx Ain't So Sweet
The Captain's Martini
The Drink
The Original Singapore Sling
Tidbit
Titanic Uplift
Tod's Cooler
Tom Collins
Tom Sweeney
Trinity Cocktail
Triplet Cocktail
Tropical Dawn
Turf Cocktail
Tuxedo Cocktail
Twentieth Century
Twenty Thousand Leagues
UFO
Ulanda Cocktail
Union Jack Cocktail
Upside-Down Martini
Velvet Crush
Venezia
Venom
Verboten
Verdi
Violent Fuck
Visitor's Treat
Waikiki Beachcomber
Wallick Cocktail
Wedding Bell Cocktail
Westerman Sings the Blues
Western Sling
White Cargo
White Spider #2
White Way Cocktail
Wilfred's Weather
Will Rogers
Wimbledon Cup
Winky
Wonder Bra
Wysoosler
Xanthia Cocktail
Yale Cocktail
Yang Martini
Yellow Rattler
Yeoman's Passion
Yin Martini
