Name,Ingredients,Making,Link,Glass,Garnish,Type,Flavor
Penicillin cocktail,"[""1 1⁄2 shot Dewar's 12 Year Old Scotch whisky"", '1⁄2 shot Ginger liqueur', '1⁄3 shot Islay single malt (peated) Scotch whisky', '2⁄3 shot Lemon juice (freshly squeezed)', '2⁄3 shot Honey syrup (3 honey to 1 water)']",SHAKE all ingredients with ice and strain into ice-filled glass (preferably over a chunk of block ice).,https://www.diffordsguide.com/cocktails/recipe/2539/penicillin-cocktail,Old-fashioned glass,Skewered candied ginger,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Pisco Fruit Cup (Difford's Cup No.9),"['5⁄6 shot BarSol Mosto Verde Italia Pisco', '5⁄6 shot Orange Curaçao liqueur', '5⁄6 shot Martini Rosso sweet vermouth', '2 dash Amargo Chuncho bitters', '1 2⁄3 shot Thomas Henry Ginger Ale', '1 2⁄3 shot Cola (e.g. Coca Cola or Pepsi Cola)']",POUR all ingredients into glass. Half fill glass with ice. Add a citrus slice and a couple of mint leaves from garnish before filling to brim with ice. Finish with rest of garnish.,https://www.diffordsguide.com/cocktails/recipe/4212/pisco-fruit-cup-diffords-cup-no9,Collins glass,"Lemon, orange & strawberry slices, mint sprig & borage",,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Poet's Dream,"['3⁄4 shot Rutte Dry Gin', '1⁄2 shot Bénédictine D.O.M.', '3⁄4 shot Martini Extra Dry vermouth']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/1576/poets-dream,Nick & Nora glass,Lemon zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 7']"
Prescription Julep,"['7 fresh Mint leaves', '1 1⁄2 shot Rémy Martin 1738 Cognac', '1⁄2 shot Straight rye whiskey (100 proof / 50% alc./vol.)', ""1⁄3 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '2 dash Orange Bitters by Angostura']",SHAKE all ingredients with ice and strain into julep cup filled with crushed ice.,https://www.diffordsguide.com/cocktails/recipe/4629/prescription-julep,Julep tin,Orange zest twist (discarded) & mint sprigs dusted with icing sugar,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Red Snapper,"['2 shot Rutte Dry Gin', '4 shot Tomato juice', '1⁄2 shot Lemon juice (freshly squeezed)', ""1⁄4 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '4 dash Worcestershire sauce', '7 drop Hot pepper sauce (red)', '2 grind Black pepper', '2 pinch Celery salt']",ROLL rather than shake all ingredients with ice and strain into ice-filled glass. (Use double frozen ice freshly from freezer to fill glass.),https://www.diffordsguide.com/cocktails/recipe/1665/red-snapper,Collins glass,Salt & pepper rim,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 7']"
Rum Fruit Cup (Difford's Cup No.4),"['5⁄6 shot Havana Club 3 Year Old rum', '5⁄6 shot Orange Curaçao liqueur', '5⁄6 shot Martini Rosso sweet vermouth', '2 dash Angostura Aromatic Bitters', '1 2⁄3 shot Thomas Henry Ginger Ale', '1 2⁄3 shot Cola (e.g. Coca Cola or Pepsi Cola)']",POUR all ingredients into glass. Half fill glass with ice. Add a citrus slice and a couple of mint leaves from garnish before filling to brim with ice. Finish with rest of garnish.,https://www.diffordsguide.com/cocktails/recipe/4207/rum-fruit-cup-diffords-cup-no4,Collins glass,"Lemon, orange & strawberry slices, mint sprig & borage",,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Rye Whiskey Fruit Cup (Difford's Cup No.5),"['5⁄6 shot Straight rye whiskey (100 proof / 50% alc./vol.)', '5⁄6 shot Orange Curaçao liqueur', '5⁄6 shot Martini Rosso sweet vermouth', '2 dash Angostura Aromatic Bitters', '1 2⁄3 shot Thomas Henry Ginger Ale', '1 2⁄3 shot Cola (e.g. Coca Cola or Pepsi Cola)']",POUR all ingredients into glass. Half fill glass with ice. Add a citrus slice and a couple of mint leaves from garnish before filling to brim with ice. Finish with rest of garnish.,https://www.diffordsguide.com/cocktails/recipe/4208/rye-whiskey-fruit-cup-diffords-cup-no5,Collins glass,"Lemon, orange & strawberry slices, mint sprig & borage",,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Sabot,"['1 1⁄2 shot Rutte Dry Gin', '3⁄4 shot De Kuyper Triple Sec (40%)', '3⁄4 shot Lemon juice (freshly squeezed)', ""1⁄3 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1⁄2 shot Pasteurised egg white (or aquafaba)', '3⁄4 shot Brut champagne or sparkling wine']",SHAKE first 5 ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass. TOP with champagne.,https://www.diffordsguide.com/cocktails/recipe/7670/sabot,Coupe glass,Lemon zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 7']"
Santa Marta Daiquiri,"['2 1⁄3 shot Bacardi Carta Blanca light rum', '3⁄4 shot Lime juice (freshly squeezed)', ""1⁄2 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1⁄3 shot Chilled water', '1⁄6 shot Kirschwasser (cherry) eau-de-vie']",SHAKE first three ingredients with ice and fine strain into chilled glass. FLOAT spoon of kirsch eau de vie on surface of drink.,https://www.diffordsguide.com/cocktails/recipe/3665/santa-marta-daiquiri,Coupe glass,Lime wedge on rim,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 7']"
Scotch Whisky Fruit Cup (Difford's Cup No.2),"[""5⁄6 shot Dewar's 12 Year Old Scotch whisky"", '5⁄6 shot Orange Curaçao liqueur', '5⁄6 shot Martini Rosso sweet vermouth', '2 dash Angostura Aromatic Bitters', '1 2⁄3 shot Thomas Henry Ginger Ale', '1 2⁄3 shot Cola (e.g. Coca Cola or Pepsi Cola)']",POUR all ingredients into glass. Half fill glass with ice. Add a citrus slice and a couple of mint leaves from garnish before filling to brim with ice. Finish with rest of garnish.,https://www.diffordsguide.com/cocktails/recipe/4205/scotch-whisky-fruit-cup-diffords-cup-no2,Collins glass,"Lemon, orange & strawberry slices, mint sprig & borage",,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
South Side Rickey,"['2 shot Rutte Dry Gin', '1 shot Lime juice (freshly squeezed)', ""3⁄4 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '5 fresh Mint leaves', '1 1⁄3 shot Thomas Henry Soda Water']",SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with soda.,https://www.diffordsguide.com/cocktails/recipe/3488/south-side-rickey,Collins glass,Lime and mint sprigs,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Tequila Martini,"['2 shot Patrón Silver blanco tequila', '1 shot Martini Bianco vermouth', ""4 drop Difford's Margarita Bitters""]",STIR all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/10055/tequila-martini,Coupe glass,Coin-sized lime zest twist cut thick with some flesh on the back so that when the zest is expressed over the cocktail a few drips of juice also drop into the cocktail.,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 7']"
The Dante,"['1 1⁄3 shot Patrón Silver blanco tequila', '1⁄3 shot Green Chartreuse liqueur', '1⁄3 shot Mentzendorff Kümmel liqueur', ""1⁄3 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '2⁄3 shot Lime juice (freshly squeezed)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4868/the-dante,Coupe glass,Float basil leaf boat,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 7']"
