Name,Ingredients,Making,Link,Glass,Garnish,Type,Flavor
Capercaillie,"[""1 2⁄3 shot Dewar's 12 Year Old Scotch whisky"", '5⁄12 shot De Kuyper Triple Sec (40%)', '1⁄3 shot De Kuyper Apricot Brandy liqueur', '5⁄6 shot Pineapple juice (fresh pressed)', '5⁄12 shot Lemon juice (freshly squeezed)', '1⁄3 shot Honey syrup (3 honey to 1 water)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/369/capercaillie,Coupe glass,Pineapple wedge on rim,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Caprice,"['1 1⁄2 shot Rutte Dry Gin', '1⁄2 shot Bénédictine D.O.M.', '1⁄2 shot Martini Extra Dry vermouth', '1 dash Orange Bitters by Angostura']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/571/caprice,Martini glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 6']"
Captain Collins,"['1 2⁄3 shot Canadian blended whisky', '5⁄6 shot Lemon juice (freshly squeezed)', ""1⁄2 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1 1⁄2 shot Thomas Henry Soda Water']",SHAKE first 3 ingredients with ice and strain into ice-filled glass. TOP with soda and briefly stir.,https://www.diffordsguide.com/cocktails/recipe/370/captain-collins,Collins glass,Orange slice & Luxardo Maraschino cherry on stick (sail),,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 7']"
Captain Ron,"['1 shot Martinique V.S.O.P rum', '3⁄4 shot Straight rye whiskey (100 proof / 50% alc./vol.)', '2⁄3 shot Lemon juice (freshly squeezed)', ""1⁄3 shot Difford's Falernum liqueur"", '1⁄3 shot Giffard Grenadine syrup', '1⁄3 shot Chilled water (omit if using wet ice)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/13400/captain-ron,Coupe glass,Dust with freshly grated cinnamon & garnish with a lemon zest twist,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Carajillo,"['1 2⁄3 shot Licor 43 Original liqueur', '1 1⁄3 shot Espresso coffee (freshly made & hot)']",POUR liqueur into an ice-filled glass then pour coffee over liqueur and stir.,https://www.diffordsguide.com/cocktails/recipe/4848/carajillo,Copa glass,None,,"['Gentle 0 - Boozy 10: 3', 'Sweet 0 - Dry/Sour 10: 5']"
Caramel Manhattan,"['1 1⁄2 shot Bourbon whiskey', '1⁄2 shot Giffard Caramel Toffee liqueur', '1⁄3 shot Martini Rosso sweet vermouth', '2⁄3 shot Pineapple juice (fresh pressed)', ""1 dash Peychaud's or other Creole-style bitters""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/371/caramel-manhattan,Coupe glass,Lemon zest twist (discarded) & pineapple wedge,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Cardamom & Banana Vieux Carré,"['3⁄4 shot Straight rye whiskey (100 proof / 50% alc./vol.)', '3⁄4 shot Rémy Martin 1738 Cognac', '1⁄4 shot Giffard Banane du Brésil liqueur', '1⁄6 shot Cardamom sugar syrup', ""4 drop Bob's Cardamom bitters"", '2 dash Angostura Aromatic Bitters']",STIR all ingredients with ice and strain into ice-filled glass (preferably over a chunk of block ice).,https://www.diffordsguide.com/cocktails/recipe/12889/cardamom-and-banana-vieux-carre,Old-fashioned glass,Lemon zest twist,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 5']"
Cardinale,"['1 1⁄3 shot Rutte Dry Gin', '1 1⁄3 shot Italian red bitter liqueur', '1 1⁄3 shot Martini Extra Dry vermouth']",STIR all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/572/cardinale,Old-fashioned glass,Orange slice,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 8']"
Caribbean Breeze,"['1 1⁄4 shot Bacardi Carta Blanca light rum', '1⁄2 shot Giffard Banane du Brésil liqueur', '2 1⁄2 shot Pineapple juice (fresh pressed)', '2 shot Cranberry juice (sweetened)', '1⁄2 shot Lime cordial (sweetened lime juice)']",SHAKE all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/375/caribbean-breeze,Collins glass,Pineapple wedge,,
Caribbean Colada,"['1 shot Bacardi Carta Blanca light rum', '1 shot Havana Club 7yo rum', '1 shot De Kuyper Pineapple liqueur', '1⁄6 shot Coconut sugar syrup', '1⁄6 shot Passion fruit syrup', '1 shot Orange juice (freshly squeezed)']",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,https://www.diffordsguide.com/cocktails/recipe/4226/caribbean-colada,Hurricane glass,"Pineapple, Luxardo Maraschino cherry & paper parasol",,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 4']"
Caribbean Punch,"['1 1⁄2 shot White overproof rum', '1⁄3 shot Disaronno amaretto', '1⁄3 shot Coconut rum liqueur (35-40% alc./vol.)', ""1⁄6 shot Galliano L'Autentico liqueur"", '1⁄2 shot Lemon juice (freshly squeezed)', '2 shot Pineapple juice (fresh pressed)', '1⁄6 shot Giffard Grenadine syrup']",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,https://www.diffordsguide.com/cocktails/recipe/378/caribbean-punch,Collins glass,Lime zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Caribe Daiquiri,"['2 shot Havana Club 3 Year Old rum', '1 shot Pineapple juice (fresh pressed)', '1⁄2 shot Lemon juice (freshly squeezed)', ""1⁄3 shot Difford's Falernum liqueur"", ""1⁄12 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/573/caribe-daiquiri,Coupe glass,Pineapple wedge on rim,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Caribeño,"['2 shot Bacardi Carta Blanca light rum', '3 shot Coconut water', '1⁄4 shot Lime juice (freshly squeezed)', ""1⁄6 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all the ingredients with ice and strain into an ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/2913/caribeno,Collins glass,Lime wedge,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 7']"
Carondelet,"['2 shot Rutte Dry Gin', '1⁄2 shot Lemon juice (freshly squeezed)', '5⁄12 shot Lime juice (freshly squeezed)', ""1⁄3 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1⁄6 shot Vanilla sugar syrup', '2 dash Orange flower/blossom water', '2 pinch Salt']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4857/carondelet,Coupe glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 7']"
Carré Nouveau,"['1 1⁄2 shot Rémy Martin 1738 Cognac', '3⁄4 shot Lillet Blanc (or other aromatized wine)', '1⁄4 shot Bénédictine D.O.M.', '1⁄6 shot Gentian liqueur (e.g. Suze, Salers etc)', ""3 dash Peychaud's or other Creole-style bitters""]",STIR all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/3666/carre-nouveau,Old-fashioned glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 7']"
Carriaggi Cocktail,"['1 shot Kirschwasser (cherry) eau-de-vie', '1 shot Liquore Strega', '1 shot Orange juice (freshly squeezed)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4618/carriaggi-cocktail,Nick & Nora glass,Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Carroll Gardens,"['2 shot Straight rye whiskey (100 proof / 50% alc./vol.)', '1⁄2 shot Nardini Amaro', '1⁄6 shot Luxardo Maraschino liqueur', '1⁄2 shot Punt E Mes or other full-bodied vermouth']","STIR ingredients over ice and strain into a cocktail glass. Squeeze lemon twist over the drink, wipe the rim with the peel and discard.",https://www.diffordsguide.com/cocktails/recipe/2788/carroll-gardens,Coupe glass,Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Carthusian Nail,"[""1 1⁄2 shot Dewar's 12 Year Old Scotch whisky"", '3⁄4 shot Drambuie liqueur', '1⁄4 shot Green Chartreuse liqueur']",STIR all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/2789/carthusian-nail,Old-fashioned glass,Mint sprig,,
Caruso Cocktail,"['1 shot Rutte Dry Gin', '1 shot Martini Extra Dry vermouth', '1 shot Giffard Peppermint Pastille crème de menthe']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/575/caruso-cocktail,Coupe glass,Float mint leaf or peg to rim,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 4']"
Casa Savoia Manhattan,"['1 1⁄2 shot Savoia Americano Rosso', '2 shot Straight rye whiskey (100 proof / 50% alc./vol.)']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/11091/casa-savoia-manhattan,Coupe glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Casablanca,"['1 1⁄2 shot Bacardi Carta Blanca light rum', '1⁄2 shot De Kuyper Triple Sec (40%)', '1⁄2 shot Luxardo Maraschino liqueur', '1⁄2 shot Lime juice (freshly squeezed)', ""1⁄12 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1⁄2 shot Pasteurised egg white (or aquafaba)']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/576/casablanca,Coupe glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Casablanca No.2,"['1 shot Ketel One Citroen Vodka', '1 shot Warninks Advocaat liqueur', ""1⁄4 shot Galliano L'Autentico liqueur"", '1 shot Orange juice (freshly squeezed)', '1⁄2 shot Single cream / half-and-half']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/382/casablanca-no2,Coupe glass,Dust with grated nutmeg,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 5']"
Casanova,"['1 1⁄2 shot Bourbon whiskey', '3⁄4 shot Bebo Coffee Liqueur', '3⁄4 shot Rainwater/Verdelho (med-dry) Madeira wine', '3⁄4 shot Milk (whole milk/full 3-4% fat)', '3⁄4 shot Single cream / half-and-half', ""1⁄6 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/383/casanova,Coupe glass,Crumbled Cadbury's Flake bar,,
Cassini,"['1 1⁄2 shot Ketel One Vodka', '1⁄4 shot Rutte Dry Gin', '1⁄4 shot Giffard Noir de Bourgogne Cassis', '1 1⁄2 shot Cranberry juice (sweetened)']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/386/cassini,Martini glass,Blackberry on rim or blackberries on stick,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Castro's Pina Colada,"['2 shot Coconut rum liqueur (35-40% alc./vol.)', '4 shot Pineapple juice (fresh pressed)', '1⁄3 shot Lime juice (freshly squeezed)']",SHAKE all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/12885/castros-pina-colada,Collins glass,Pineapple wedge,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 4']"
Cazador,"['2 shot Bacardi 8 year old rum', '2⁄3 shot Lime juice (freshly squeezed)', '5⁄12 shot Maple syrup', '1⁄6 shot Giffard Noir de Bourgogne Cassis', '2 dash La Fée Parisienne absinthe']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4997/cazador,Coupe glass,Lime zest twist or dehydrated lime wheel slice,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Celery Cocktail,"['2 shot Ketel One Vodka', ""1⁄4 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1 3⁄4 shot Celery juice (freshly extracted)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/389/celery-cocktail,Martini glass,Salt rim & celery stick,,
Celery Gimlet,"['1 1⁄2 shot Rutte Celery Dry Gin', '1 shot Celery juice (freshly extracted)', '1⁄4 shot Green Chartreuse liqueur', '1⁄3 shot Lime juice (freshly squeezed)', '1⁄6 shot Lime cordial (sweetened lime juice)', '1⁄6 shot White wine vinegar (Chardonnay)', '2 dash Celery bitters']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3086/celery-gimlet,Coupe glass,Celery tip & leaf,,
Celery Nome,"['1 1⁄3 shot Rutte Celery Dry Gin', '2⁄3 shot Fino sherry', '1⁄2 shot Celery saccharum (celery syrup)', '1 dash Celery bitters']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/5266/celery-nome,Nick & Nora glass,Celery sprig or celery stick,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Celtic Margarita,"[""1 1⁄2 shot Dewar's 12 Year Old Scotch whisky"", '3⁄4 shot De Kuyper Triple Sec (40%)', '3⁄4 shot Lemon juice (freshly squeezed)', ""1⁄4 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", ""4 drop Difford's Margarita Bitters (optional)""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/390/celtic-margarita,Coupe glass,Salt rim & lemon wedge,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Champagne Cup,"['3⁄4 shot Rémy Martin 1738 Cognac', '1⁄2 shot Grand Marnier or other cognac orange liqueur', '1⁄4 shot Syrup from Luxardo Maraschino Cherries', 'Top up with Brut champagne or sparkling wine']",STIR first 3 ingredients with ice and strain into chilled glass. TOP with champagne and gently stir.,https://www.diffordsguide.com/cocktails/recipe/394/champagne-cup,Flute glass,Luxardo Maraschino cherry,,
Champagne Pick-Me-Up,"['1 shot Rémy Martin 1738 Cognac', '1 1⁄2 shot Orange juice (freshly squeezed)', '1⁄4 shot Giffard Grenadine syrup', 'Top up with Brut champagne or sparkling wine']",SHAKE first 3 ingredients with ice and fine strain into chilled glass. TOP with sparkling wine.,https://www.diffordsguide.com/cocktails/recipe/2334/champagne-pick-me-up,Flute glass,Orange zest twist (discarded),,
Champino,"['1 shot Italian red bitter liqueur', '1 shot Martini Rosso sweet vermouth', '2 shot Brut champagne or sparkling wine']",SHAKE first 2 ingredients with ice and fine strain into chilled glass. TOP with champagne.,https://www.diffordsguide.com/cocktails/recipe/2335/champino,Flute glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 8']"
Chanteloup Champagne Flip,"['1 1⁄3 shot Rémy Martin 1738 Cognac', '1⁄6 shot Pedro Ximénez sherry', '1⁄6 shot Giffard Parfait Amour liqueur', ""1⁄6 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1 dash Angostura Aromatic Bitters', '1⁄2 shot Chilled water', '1 fresh Egg yolk', 'Top up with Brut champagne or sparkling wine']",SHAKE first 7 ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass. TOP with champagne.,https://www.diffordsguide.com/cocktails/recipe/3793/chanteloup-champagne-flip,Flute glass,Mint sprig tip & dust with freshly grated nutmeg,,
Charente Collins,"['5 fresh Mint leaves', '2 shot Grand Marnier or other cognac orange liqueur', '1 shot Fiorente Elderflower liqueur', '1 shot Lemon juice (freshly squeezed)']","Lightly MUDDLE mint in base of shaker (just to bruise). Add other ingredients, SHAKE with ice and strain into glass filled with crushed ice. Serve with straws.",https://www.diffordsguide.com/cocktails/recipe/578/charente-collins,Collins glass,Mint sprig & orange zest twist,,
Charentes,"['1 1⁄2 shot Rémy Martin 1738 Cognac', '2⁄3 shot Pineau des Charentes rouge', '1⁄3 shot Mentzendorff Kümmel liqueur', '2⁄3 shot Lemon juice (freshly squeezed)', ""1⁄6 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3748/charentes,Coupe glass,Raspberries,,
Charentes Cocktail,"['7 whole Green grapes (seedless)', '1 2⁄3 shot Rémy Martin 1738 Cognac', '5⁄6 shot Pineau des Charentes rouge', ""3 drop Bob's Chocolate bitters""]","MUDDLE grapes in base of mixing glass. Add other ingredients, STIR with ice and fine strain into chilled glass.",https://www.diffordsguide.com/cocktails/recipe/3747/charentes-cocktail,Coupe glass,Lemon zest twist (discarded) & white grape,,
Charlie,"['2 shot Bourbon whiskey', '1⁄2 shot Martini Rosso sweet vermouth', '1⁄4 shot Giffard Framboise de Ronce (raspberry liqueur)', '1 dash Angostura Aromatic Bitters']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/2791/charlie,Coupe glass,Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 6']"
Charlie Chaplin Cocktail,"['3⁄4 shot De Kuyper Apricot Brandy liqueur', '3⁄4 shot Rutte Sloe Gin', '3⁄4 shot Lime juice (freshly squeezed)', '1⁄3 shot Chilled water (omit if using wet ice)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/2914/charlie-chaplin-cocktail,Coupe glass,Apricot wedge,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 8']"
Chas,"['5⁄6 shot Bourbon whiskey', '1⁄4 shot Bénédictine D.O.M.', '1⁄4 shot Disaronno amaretto', '1⁄4 shot De Kuyper Triple Sec (40%)', '1⁄4 shot Grand Marnier or other cognac orange liqueur']",STIR all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/400/chas,Nick & Nora glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 6']"
Chatham Hotel Special,"['2 shot Rémy Martin 1738 Cognac', '3⁄4 shot Tawny port', '1⁄2 shot De Kuyper Brown Crème de Cacao', '1⁄2 shot Single cream / half-and-half']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/579/chatham-hotel-special,Coupe glass,Dust with grated nutmeg,,
Che's Revolution,"['4 fresh Mint leaves', '2 shot Bacardi Carta Blanca light rum', '1 1⁄2 shot Pineapple juice (fresh pressed)', '1⁄4 shot Maple syrup']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/410/ches-revolution,Martini glass,Pineapple wedge,,
Cheeky Monkey,"['1 shot Ketel One Vodka', '1 shot Yellow Chartreuse liqueur', '1 1⁄2 shot Orange juice (freshly squeezed)', '1 dash Orange Bitters by Angostura']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/401/cheeky-monkey,Coupe glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 5']"
Cherry Alexander,"['1 shot Absolut Vanilia vodka', '1⁄2 shot Cherry Heering cherry brandy liqueur', '1⁄2 shot Dutch Cacao white crème de cacao', '1 shot Single cream / half-and-half', '1⁄3 shot Pasteurised egg white (or aquafaba) (optional)']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/404/cherry-alexander,Coupe glass,Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 5']"
Cherry Mariner,"['1 1⁄2 shot Rutte Dry Gin', '1⁄2 shot Martini Rosso sweet vermouth', '1⁄3 shot Cherry Heering cherry brandy liqueur', '1⁄3 shot Luxardo Maraschino liqueur', '2 dash Orange Bitters by Angostura', '1⁄3 shot Chilled water']",STIR all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/2337/cherry-mariner,Coupe glass,Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Cherry Mash Sour,"['2 shot Daddy Rack Tennessee Whiskey', '1⁄2 shot Cherry Heering cherry brandy liqueur', '3⁄4 shot Lemon juice (freshly squeezed)', ""1⁄2 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/409/cherry-mash-sour,Old-fashioned glass,Lemon zest twist & Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 5']"
Cherry Mojito,"['14 fresh Mint leaves', '1 1⁄3 shot Havana Club 3 Year Old rum', '2⁄3 shot Cherry Heering cherry brandy liqueur', '1⁄2 shot Lime juice (freshly squeezed)', ""1⁄4 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1⁄2 shot Thomas Henry Soda Water']","Lightly MUDDLE mint in base of glass (just to bruise). Add the next 4 ingredients to glass and two-thirds fill with crushed ice. CHURN (stir) with bar spoon and then FILL glass with more crushed ice. TOP with soda, briefly churn and serve.",https://www.diffordsguide.com/cocktails/recipe/3648/cherry-mojito,Collins glass,Mint sprigs bouquet,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 7']"
Cherry Sour Bourbon,"['1 1⁄2 shot Bourbon whiskey', '5⁄6 shot Cherry Heering cherry brandy liqueur', '2⁄3 shot Lemon juice (freshly squeezed)', ""1⁄3 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1 dash Angostura Aromatic Bitters', '1⁄2 shot Pasteurised egg white (or aquafaba)']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/3649/cherry-sour-bourbon,Old-fashioned glass,Orange zest twist (discarded) & Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Cherry Velvet,"['1 1⁄3 shot Rémy Martin 1738 Cognac', '2⁄3 shot Vermouth amaro', '1⁄2 shot Pedro Ximénez sherry', '2 dash Angostura Aromatic Bitters']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3732/cherry-velvet,Coupe glass,Luxardo maraschino cherry,,
Cherryberry Cherub,"['5 fresh Raspberries (fresh)', '1 1⁄2 shot Ketel One Vodka (infused with vanilla)', '3⁄4 shot De Kuyper Triple Sec (40%)', '3⁄4 shot Lemon juice (freshly squeezed)', '5⁄12 shot Cherry Heering cherry brandy liqueur']","MUDDLE raspberries in base of shaker. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.",https://www.diffordsguide.com/cocktails/recipe/5050/cherryberry-cherub,Old-fashioned glass,Fresh raspberries,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Chilcano de Pisco,"['2 shot BarSol Mosto Verde Italia Pisco', '1⁄4 shot Lime juice (freshly squeezed)', '3 dash Amargo Chuncho bitters', '3 1⁄2 shot Thomas Henry Ginger Ale']",POUR all ingredients into ice-filled glass and lightly stir.,https://www.diffordsguide.com/cocktails/recipe/3490/chilcano-de-pisco,Collins glass,Lime wedge,,
Chimayo,"['2 shot Patrón Reposado tequila', '1⁄2 shot Giffard Noir de Bourgogne Cassis', '3⁄4 shot Apple juice (apple cider) unsweetened & unfiltered', '1⁄4 shot Lemon juice (freshly squeezed)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/415/chimayo,Martini glass,Apple slice,,
China Beach,"['1 1⁄3 shot Ketel One Vodka', '2⁄3 shot Ginger liqueur', '1 2⁄3 shot Cranberry juice (sweetened)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/417/china-beach,Coupe glass,Skewered crystalised ginger,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
China Blue,"['1 shot Kwai Feh lychee liqueur', '1 shot De Kuyper Blue Curaçao', '4 shot Pink grapefruit juice (freshly squeezed)']",SHAKE all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/418/china-blue,Collins glass,Orange slice,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 5']"
China Blue Cocktail,"['1 shot Kwai Feh lychee liqueur', '1 shot De Kuyper Blue Curaçao', '2 shot Pink grapefruit juice (freshly squeezed)', '1⁄4 shot Lemon juice (freshly squeezed)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/419/china-blue-cocktail,Martini glass,Lychee,,
Chinato Nail,"[""2 1⁄2 shot Dewar's 12 Year Old Scotch whisky"", '1⁄2 shot Drambuie liqueur', '1⁄2 shot Barolo Chinato']",STIR all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/3274/chinato-nail,Old-fashioned glass,Lemon zest twist,,
Chinese Cosmopolitan,"['2 shot Krupnik spiced honey liqueur', '3⁄4 shot Kwai Feh lychee liqueur', '1⁄2 shot Lime juice (freshly squeezed)', '1 shot Cranberry juice (sweetened)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/421/chinese-cosmopolitan,Martini glass,Orange zest twist (flamed),,
Chinese Whisper,"['2 slice Root ginger (thumbnail-sized slice)', '2 shot Ketel One Citroen Vodka', '1 shot Kwai Feh lychee liqueur', '1⁄2 shot Lime juice (freshly squeezed)', '1⁄4 shot Ginger syrup']","MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",https://www.diffordsguide.com/cocktails/recipe/423/chinese-whisper,Martini glass,Lemon zest twist,,
Chiodo,"['1 1⁄2 shot Blended/vatted Scotch malt whisky', '2⁄3 shot Savoia Americano Rosso', '1⁄3 shot Drambuie liqueur']",STIR all ingredients with ice and strain into ice-filled glass (preferably over a large cube or chunk of block ice).,https://www.diffordsguide.com/cocktails/recipe/11092/chiodo,Old-fashioned glass,Pink grapefruit zest twist,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Chocolarita,"['2 shot Patrón Reposado tequila', '1⁄3 shot De Kuyper Brown Crème de Cacao', '1⁄6 shot Bebo Coffee Liqueur', '2⁄3 shot Lime juice (freshly squeezed)', ""1⁄4 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/580/chocolarita,Coupe glass,Chocolate powder rim,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 8']"
