Name,Ingredients,Making,Link,Type
Blueberry Kamikaze,"['1/2 oz. Chambord Raspberry Liqueur', '1/2 oz. Stolichnaya ( Stoli ) Raspberry Vodka', '1/2 oz. Triple Sec']",Shake with ice and strain into shot glass.,https://www.barnonedrinks.com/drinks/b/blueberry-kamikaze-10152.html,Shooters
Blurricane,"['1/3 oz. Blue Curacao', '1/3 oz. Rumple Minze', '1/3 oz. Goldschlager', '1/3 oz. Jagermeister', '1/3 oz. Wild Turkey 80 Proof Bourbon', '1/3 oz. Ouzo']",Layer in a 2 oz. shot glass in the given order.,https://www.barnonedrinks.com/drinks/b/blurricane-745.html,Shooters
Blushing Nipple,"['1/2 oz. Tequila Rose', '1/2 oz. Baileys Irish Cream']",Layer Tequila Rose on the bottom and Bailey's on top in a shooter glass.,https://www.barnonedrinks.com/drinks/b/blushing-nipple-9607.html,Shooters
Bob Marley,"['1/2 oz. Grenadine', '1/2 oz. Creme de Banane', '1/2 oz. Creme de Menthe', '1/2 oz. Light Rum', '1 splash(es) 151 Proof Rum']","In a double shot glass layer (starting on the bottom with) grenadine, crème de banana, crème de menthe and light rum. Put a small layer of 151 on the top and light. While lit drink it with a straw. II learned this drink while at a bar in Jamaica. The layers make up the Jamaican colors. Definitely an impressive party shot.",https://www.barnonedrinks.com/drinks/b/bob-marley-10743.html,Shooters
Bob Marley #1,"['1/2 oz. Midori', '1/2 oz. Jagermeister', '1/2 oz. Goldschlager']",Layer in a 2 oz. shot glass.,https://www.barnonedrinks.com/drinks/b/bob-marley-1-752.html,Shooters
Bob Marley #2,"['1/2 oz. Mint Brandy', '1/2 oz. After Shock Liqueur', '1/2 oz. Amarula Cream Liqueur (Or similar)']",Layer in order (mint at the bottom of the glass) in a shot glass.,https://www.barnonedrinks.com/drinks/b/bob-marley-2-7628.html,Shooters
Bobbi's Peaches,"['1/2 oz. Peach Schnapps', '1/2 oz. Triple Sec', '1 splash(es) Squirt']","Shake the peach schnapps and triple sec with ice, pour into a shot glass, top with Squirt, smile and think of boobs:)",https://www.barnonedrinks.com/drinks/b/bobbis-peaches-5848.html,Shooters
Boccie Ball Jiggle Shots,"['1/2 cup(s) Amaretto', '1 cup(s) Water (Boiling)', '2 package(s) JELLO (Orange)']","Mix the ingredients, pour in 2 oz. shot glasses and refrigerate.",https://www.barnonedrinks.com/drinks/b/boccie-ball-jiggle-shots-759.html,Shooters
Body Bag,"['1/3 oz. Jagermeister', '1/3 oz. Rumple Minze', '1/3 oz. Goldschlager']",Layer in order (Jagermeister at the bottom) in a shot glass and shoot.,https://www.barnonedrinks.com/drinks/b/body-bag-7308.html,Shooters
Body Shot,"['1 oz. Vodka (Or tequila)', '1/4 Lime', 'dash(es) Salt']",This is a drink that requires a partner. Lick and place salt on your partner's body (where you would like to lick). Squeeze lime juice on his/her body (where you care to suck). Hold the vodka/tequila in your mouth for 10 seconds. The one who can hold it in his/her mouth for the 10 seconds gets to lick and suck.,https://www.barnonedrinks.com/drinks/b/body-shot-6275.html,Shooters
Boiler Maker,"['1 oz. Tequila', '1 pint(s) Beer']",Drop the shot into the beer and chug.,https://www.barnonedrinks.com/drinks/b/boiler-maker-10361.html,Shooters
Boiler Maker #1,"['1 oz. Vodka (or any other hard alcohol)', '1 pint(s) Beer']",Pour one full shot of vodka and drop it into the full beer mug. Shoot!,https://www.barnonedrinks.com/drinks/b/boiler-maker-1-5768.html,Shooters
Boiler Maker #2,"[""2 oz. Jack Daniel's Whiskey"", 'Beer']",Drop the shot glass of Jack Daniel's into a mug of beer and slam back.,https://www.barnonedrinks.com/drinks/b/boiler-maker-2-7679.html,Shooters
Boiling Culdron,"['1 oz. Expresso', '3/4 oz. Baileys Irish Cream', '1/4 oz. Sambuca']",Pour into a 2 !/2 oz. shot glass and drink while hot.,https://www.barnonedrinks.com/drinks/b/boiling-culdron-9943.html,Shooters
Boilmaker #2,"['1 oz. Everclear', '1 pint(s) Beer']","Fill a shot glass with everclear, light it and drop the full shot glass into the mug of beer. Drink immediately. ALWAYS USE CAUTION WITH FIRE.",https://www.barnonedrinks.com/drinks/b/boilmaker-2-6648.html,Shooters
Bomb Pop,"['1/2 oz. Absolut Citron Vodka', '1/4 oz. Grenadine', '1/4 oz. Blue Curacao']","Chill vodka. Pour into a champagne glass. Tilt glass and slowly pour in grenadine. Bring glass slightly back to vertical and pour in blue curacao slowly. Should come out blue, white, red from top to bottom.",https://www.barnonedrinks.com/drinks/b/bomb-pop-10264.html,Shooters
Bonono,"['1/2 oz. Grand Marnier', '1/2 oz. Banana Liqueur', '1/2 oz. Cointreau']",Layer in a shot glass.,https://www.barnonedrinks.com/drinks/b/bonono-781.html,Shooters
Bonzai Pipeline,"['1/2 oz. Vodka', '1 oz. Tropical Fruit Schnapps']",Stir and strain into a shot glass.,https://www.barnonedrinks.com/drinks/b/bonzai-pipeline-782.html,Shooters
Booby Sundae,"['1 oz. Butterscotch Ripple Schnapps', '1 oz. Baileys Irish Cream']",Layer Butterscotch Ripple Schnapps and Bailey's Irish Cream in a shot glass.,https://www.barnonedrinks.com/drinks/b/booby-sundae-8502.html,Shooters
Booger,"['1/2 oz. Coconut Rum', '1/2 oz. Banana Liqueur', '1/2 oz. Melon Liqueur', 'drop(s) Irish Cream']",Layer the three alcohol then add the Irish cream.,https://www.barnonedrinks.com/drinks/b/booger-785.html,Shooters
Booger In The Grass,"['1 oz. Midori', 'dash(es) Baileys Irish Cream']",Pour the Midori into a shot glass and float a bit of Bailey's on top. Tweak to taste preference. Enjoy!!!,https://www.barnonedrinks.com/drinks/b/booger-in-the-grass-7482.html,Shooters
Boomer,"['1/2 oz. Raspberry Sourpuss', '1/2 oz. White Tequila', '7-Up']",Pour raspberry sourpuss and tequila into a shot glass. Drop into a tall glass of 7-Up and drink up.,https://www.barnonedrinks.com/drinks/b/boomer-9153.html,Shooters
Boot To The Head,"[""1/2 oz. Jack Daniel's Whiskey"", '1/2 oz. Drambuie Liqueur']",Combine in a shot glass.,https://www.barnonedrinks.com/drinks/b/boot-to-the-head-5746.html,Shooters
Border Shooter,"['1 oz. Tequila', '1 oz. Peppermint Schnapps']",Combine in a shot glass.,https://www.barnonedrinks.com/drinks/b/border-shooter-8276.html,Shooters
Borg Blaster,"['1/3 oz. Grenadine', '1/3 oz. Lemonade', '1/3 oz. Whiskey']",Layer in order in a shot glass.,https://www.barnonedrinks.com/drinks/b/borg-blaster-796.html,Shooters
Bottle Cap Shooter,"['1/2 oz. Amaretto', '1/2 oz. Root Beer Schnapps', 'Lime Juice']",Pour the amaretto and root beer schnapps into a shot glass. Then take a beer glass and fill it with enough lime juice to hide the shot glass. Drink same way as a gladiator - drop and shoot. Pucker up and enjoy!,https://www.barnonedrinks.com/drinks/b/bottle-cap-shooter-11432.html,Shooters
Bottlecap,"['1/2 oz. Raspberry Sourpuss', '1/2 oz. Root Beer Schnapps', 'Sprite', 'Lime Juice']",In a shot glass mix the Raspberry Sourpuss (sourz) and the Rootbeer Schnapps. Then in a rocks glass mix Sprite and lime juice to rim height of shot glass when submerged. Drop shoot enjoy.,https://www.barnonedrinks.com/drinks/b/bottlecap-11749.html,Shooters
Bottom Bouncer,"['2/3 oz. Butter Shots', '1/3 oz. Baileys Irish Cream']",Pour butter shots into a shot glass. Float the Bailey's Irish Cream on top. Best way to float it is to tip the cup and poor the Irish Cream down the side.,https://www.barnonedrinks.com/drinks/b/bottom-bouncer-10715.html,Shooters
Bounty Bar,"['2 oz. Malibu Rum', '2 oz. Creme de Cacao dark', '1 splash(es) Chocolate Syrup', 'Whipping Cream']",Mix in a shaker and pour into shot glasses. Should make about 12 - 14 shooters.,https://www.barnonedrinks.com/drinks/b/bounty-bar-11915.html,Shooters
Bowel Banger,"['1 oz. Vodka', '1/2 oz. Prune Juice']",Pour in order into a shot glass.,https://www.barnonedrinks.com/drinks/b/bowel-banger-6983.html,Shooters
Bra-buster,"['1/2 oz. Vodka', '1/2 oz. Triple Sec', '1 tbsp. Tabasco Sauce']",Add Tabasco sauce to vodka in a shot glass and stir with spoon. Add Triple Sec and drink away!,https://www.barnonedrinks.com/drinks/b/bra-buster-6561.html,Shooters
Brain Cell,"['2/3 oz. Peach Schnapps', '1/3 oz. Baileys Irish Cream', '1 tsp. Grenadine']",Pour Peach Schnapps in a shot glass. Float Bailey's on top. Drop the teaspoon of granadine. Salud!,https://www.barnonedrinks.com/drinks/b/brain-cell-10214.html,Shooters
Brain Drain(b52#3),"['1/3 oz. After Shock Liqueur', '1/3 oz. Sambuca', '1/3 oz. Tequila']",Layer in a shot glass starting with the After Shock.,https://www.barnonedrinks.com/drinks/b/brain-drainb523-9327.html,Shooters
Brain Freeze #1,"['1 oz. Rumple Minze', '1 oz. Baileys Irish Cream', 'Grenadine']","Chill the alcohol then layer, top up with grenadine and consume through a straw in a shot glass.",https://www.barnonedrinks.com/drinks/b/brain-freeze-1-855.html,Shooters
Brain Haemorage #3,"['2/5 oz. Midori', '2/5 oz. Sambuca', '1/5 oz. Irish Cream', '4 drop(s) Grenadine']",lLayer liqueurs in listed order then drop the grenadine on top so it drains through the Irish cream.,https://www.barnonedrinks.com/drinks/b/brain-haemorage-3-10693.html,Shooters
Brain Haemorrhage #1,"['1 oz. Peach Schnapps', '1 tsp. Irish Cream', '1/2 tsp. Grenadine']",Pour the peach schnapps and then slowly pour the Irish creme without mixing. The creme will clump together and settle at the bottom of the schnapps. Pour the grenadine over the creme to complete the drink.,https://www.barnonedrinks.com/drinks/b/brain-haemorrhage-1-857.html,Shooters
Brain Haemorrhage #2,"['1 oz. Peach Schnapps', '1/4 oz. Irish Cream', '1 tsp. Kahlua', '4 drop(s) Grenadine']","Pour the peach schnapps into a shot glass. Add a little Kahlua, then carefully pour the Irish cream so it balls up on top to form a brain shape. Pour a few small drops of grenadine on top of the Irish cream to give the haemorrhage effect.",https://www.barnonedrinks.com/drinks/b/brain-haemorrhage-2-6123.html,Shooters
Brain Heamorrage,"['1 part(s) Sambuca', '1 package(s) Baileys Irish Cream', '2 drop(s) Grenadine']",Pour Sambuca and Bailey's Irish Cream into a shot glass. Drip the grenadine over top.,https://www.barnonedrinks.com/drinks/b/brain-heamorrage-9053.html,Shooters
Brain Hemmorage,"['1/2 oz. Baileys Irish Cream', '1/4 oz. Gin', '1/2 oz. Grenadine']",Layer in a shot glass.,https://www.barnonedrinks.com/drinks/b/brain-hemmorage-8221.html,Shooters
Brain Hemmorhage,"['1/2 oz. Peach Schnapps', '1/2 oz. Tequila Rose', 'Grenadine']","Half fill shot glasss with peach schnapps. Slowly pour tequila rose in centre of glass so it balls up like a brain. Drop grenadine over the ""Brain"".",https://www.barnonedrinks.com/drinks/b/brain-hemmorhage-10748.html,Shooters
Brain Teaser,"['3/4 oz. Sambuca', '3/4 oz. Irish Cream', '1/8 oz. Advocaat']","Layer as follows: Irish cream, then Sambuca, then Advocaat (should sit in middle of other two. Use a straw to suck up Advocaat then shoot the rest and suck the fumes up through the straw.",https://www.barnonedrinks.com/drinks/b/brain-teaser-859.html,Shooters
Brain Torch,"['1/3 oz. Bacardi 151 Black Bat Rum', '1/3 oz. After Shock Liqueur', '1/3 oz. Vodka']",Mix After Shock and Vodka in a tall shot glass. Layer 151 on top. Ignite and shoot.Turn the second tall shot glass upside down pour the leftover drink in the divot on the bottom of the glass ignite and snort the flaming residue with the straw. Not for the faint hearted.,https://www.barnonedrinks.com/drinks/b/brain-torch-11329.html,Shooters
Brains,"['1/2 oz. Irish Cream', '1/2 oz. Light Rum']",Pour the Irish cream into a shooter glass. Tilt glass and slowly pour in the light rum. Should look like brains.,https://www.barnonedrinks.com/drinks/b/brains-9150.html,Shooters
Brainstorm #2,"['1/2 oz. Peach Schnapps', '1/2 oz. Baileys Irish Cream', 'dash(es) Blue Curacao']","Pour the peach schnapps into a shot glass. Float the Bailey's on top using the back of a spoon, and add the dash of curacao through the Bailey's to create a blue brainstorm!",https://www.barnonedrinks.com/drinks/b/brainstorm-2-7010.html,Shooters
Brass Balls,"['1 1/2 oz. Grand Marnier', '1 oz. Peach Schnapps', '1 oz. Orange Juice']","Shake, strain, pour and shoot!!",https://www.barnonedrinks.com/drinks/b/brass-balls-7792.html,Shooters
Brass Monkey #2,"['1/3 oz. Vodka', '1/3 oz. Orange Juice', '1/3 oz. Lemon Juice']",Mix and shoot.,https://www.barnonedrinks.com/drinks/b/brass-monkey-2-908.html,Shooters
Brave Bull #2,"['1 oz. Tequila', '1/2 oz. Tabasco Sauce']",Pour Tabasco into bottom of shot glass and fill with tequila.,https://www.barnonedrinks.com/drinks/b/brave-bull-2-910.html,Shooters
Brave Bull Shooter,"['1/2 oz. Kahlua', '1/2 oz. Tequila']",Mix and shoot.,https://www.barnonedrinks.com/drinks/b/brave-bull-shooter-6270.html,Shooters
Break,"['1/3 oz. Kahlua', '1/3 oz. Creme de Banane', '1/3 oz. Anisette']",Layer in a shot glass.,https://www.barnonedrinks.com/drinks/b/break-915.html,Shooters
Breakfast Shot,"['1 oz. Jagermeister', 'Red Bull Energy Drink', 'Absolut Mandarin Vodka']",Pour the Jagermeister into a shot glass. Place in whiskey glass. Fill whiskey glass with Red Bull to top of shot glass. Top off with Absolut Mandarin.,https://www.barnonedrinks.com/drinks/b/breakfast-shot-12576.html,Shooters
Breyers Ice Cream Shot Or Just Breyers,"['1 part(s) Stolichnaya ( Stoli ) Vanilla Vodka', ""1 part(s) Dr. McGillicuddy's French Kiss Vanilla Schnapps"", '1 part(s) Half and Half Cream']",Chill - then shake and serve. Yummy like ice cream.,https://www.barnonedrinks.com/drinks/b/breyers-ice-cream-shot-or-just-breyers-10738.html,Shooters
Broken Down Golf Cart,"['1/3 oz. Midori', '1/3 oz. Amaretto', '1/3 oz. Cranberry Juice']",Just mix ingredients evenly into shot glass. Tastes like a multi-color striped candy cane.,https://www.barnonedrinks.com/drinks/b/broken-down-golf-cart-12252.html,Shooters
Broken Down Golf Cart #2,"['1/3 oz. Melon Liqueur', '1/3 oz. Amaretto', '1/3 oz. Cranberry Juice']",Layer into shot glass.,https://www.barnonedrinks.com/drinks/b/broken-down-golf-cart-2-923.html,Shooters
Broken Down Golf Cart #3,"['1/3 oz. Melon Liqueur', '1/3 oz. Amaretto', '1/3 oz. Lime Juice']",Pour into a shot glass.,https://www.barnonedrinks.com/drinks/b/broken-down-golf-cart-3-924.html,Shooters
Broken Down Golf Cart #4,"['1/3 oz. Amaretto', '1/3 oz. Midori', '1/3 oz. Cranberry Juice']",Pour into a shooter glass and serve.,https://www.barnonedrinks.com/drinks/b/broken-down-golf-cart-4-925.html,Shooters
Broken Down Golf Kart (the Best One),"['3/5 oz. Melon Liqueur', '2/5 oz. Amaretto']",Mix in a shot glass and slam.,https://www.barnonedrinks.com/drinks/b/broken-down-golf-kart-the-best-one-7497.html,Shooters
